Plate,Make,Model
SNC932D,,
SGQ5323M,Audi,A4
SMC3832B,,
SJM764S,Toyota,Corolla
SKR9859E,Chevrolet,Camaro
SKX8229Z,,
SLT51E,,
GJS892K,Nissan,NV200
GBJ9882K,Nissan,NV200
EP118B,Honda,Civic
