Plate,Make,Model
SKR9859E,Chevrolet,Camaro
SKX8229Z,,
SLT51E,,
GJS892K,Nissan,NV200
GBJ9882K,Nissan,NV200
EP118B,Honda,Civic
SL11B,,
SMN0000Z,,
EL84K,,
SKB678D,Nissan,Skyline GT-R
